speaker,gender,filepath,emotion,intensity,cue_t_type,offset_start,offset_end,transcription
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_GuiltSecondary74_1.wav,GuiltSecondary74,high,,0.5,7.81,I can't escape this guilt. I feel completely responsible for what happened.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Sehnsucht(RareAndComplex)_3.wav,Sehnsucht(RareAndComplex),high,,0.1,5.46,There's something I'm searching for. Something I can't quite define.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Confidence(SocialEmotions)_3.wav,Confidence(SocialEmotions),high,,0.0,4.152875,I'm completely confident. I know I've got what it takes to win.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_CompassionSecondary70_1.wav,CompassionSecondary70,high,,0.44,7.46,I'll do everything in my power to ease your pain. I feel it deeply with you.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Kaukokaipuu(RareAndComplex)_.wav,Kaukokaipuu(RareAndComplex),high,,0.22,4.98,The sight of the open road awakens a yearning for lands I've never seen.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Surprise(SocialEmotions)_.wav,Surprise(SocialEmotions),high,,0.16,3.38,What? I can't believe this just happened!
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Meraki(RareAndComplex)_.wav,Meraki(RareAndComplex),high,,0.1,7.66,"Every stitch, every brushstroke is a piece of my soul woven into the fabric of creation."
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Joy(SocialEmotions)_.wav,Joy(SocialEmotions),high,,0.2,6.52,"Oh my gosh, I just won! I can't believe this is happening! This is the happiest day of my life!"
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Curiosity(SocialEmotions)_.wav,Curiosity(SocialEmotions),high,,0.07,3.42,Tell me everything I need to know how this works right now.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Chrysalism(RareAndComplex)_.wav,Chrysalism(RareAndComplex),high,,0.29,12.44,"Listening to the rain outside, I felt an inexplicable sense of peace wash over me."
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Chiaroscuro(RareAndComplex)_.wav,Chiaroscuro(RareAndComplex),high,,0.03,8.86,Life is full of both beauty and sorrow. Each makes the other more vivid.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_GuiltSecondary_1.wav,GuiltSecondary,high,,0.09,5.27,I feel awful. I don't know how to forgive myself for this.
Carrie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Carrie_Wistfulreflection_1.wav,Wistfulreflection,high,,0.35,3.7,Think about the past like this always stirs up emotions.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_LonelinessSecondary72_1.wav,LonelinessSecondary72,high,,0.56,7.46,I feel completely isolated. It's like I'm invisible to the world.
Carrie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Carrie_Professionalgratitude_1.wav,Professionalgratitude,high,,0.39,4.29,Thank you for your tireless efforts. They mean the world to all of us.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Depaysement(RareAndComplex)_2.wav,Depaysement(RareAndComplex),high,,0.03,6.83,The bustling streets of this unfamiliar city make my senses come alive.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_JealousySecondary_1.wav,JealousySecondary,high,,0.21,5.43,I can't stand it! Why does everything always go their way?
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_ReliefSecondary19_1.wav,ReliefSecondary19,high,,0.16,6.6,"This is such a relief. I was so worried, but everything turned out okay."
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Opia(RareAndComplex)_.wav,Opia(RareAndComplex),high,,0.18,9.76,for a moment our eyes met and I felt exposed as if they could see everything I was hiding.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_GratitudeSecondary59_1.wav,GratitudeSecondary59,high,,0.38,6.63,I'm overwhelmed with gratitude. You've changed my life and I'll never forget it.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Determination(SocialEmotions)_2.wav,Determination(SocialEmotions),high,,0.06,5.12,Nothing can stop me. I'll push through every obstacle until I achieve my goal.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Calmness(SocialEmotions)_.wav,Calmness(SocialEmotions),high,,0.15,6.5,I'm completely at peace. There's nowhere else I'd rather be.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Guilt(SocialEmotions)_.wav,Guilt(SocialEmotions),high,,0.27,5.78,I feel awful. I don't know how to forgive myself for this.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Anxiety(SocialEmotions)_2.wav,Anxiety(SocialEmotions),high,,0.76,5.79,"I feel like I'm spiraling, I can't breathe and everything feels overwhelming."
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Nikhedonia(RareAndComplex)_.wav,Nikhedonia(RareAndComplex),high,,0.05,4.9,I can already see myself crossing the finish line and it feels incredible.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_PrideSecondary52_1.wav,PrideSecondary52,high,,0.36,6.27,This is my greatest achievement. I feel unstoppable right now.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_DisdainSecondary_1.wav,DisdainSecondary,high,,0.5,6.47,It's utterly despicable. I have nothing but contempt for it.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_ResentmentSecondary_1.wav,ResentmentSecondary,high,,0.3,5.36,I'll never forgive them for what they did. It's eating me alive.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Hope(SocialEmotions)_2.wav,Hope(SocialEmotions),high,,0.17,4.68,I know this will succeed. I'm holding on to that with everything I have.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Surprise(SocialEmotions)_3.wav,Surprise(SocialEmotions),high,,0.04,5.84,What? This is absolutely shocking. I didn't expect this at all.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Embarassment(SocialEmotions)_2.wav,Embarassment(SocialEmotions),high,,0.21,5.84,I feel completely humiliated. I want to disappear right now.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_EmbarrassmentSecondary63_1.wav,EmbarrassmentSecondary63,high,,0.67,6.96,I feel completely humiliated. I want to disappear right now.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_HopeSecondary45_1.wav,HopeSecondary45,high,,1.12,6.74,I know this will succeed. I'm holding on to that with everything I have.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Surprise(SocialEmotions)_2.wav,Surprise(SocialEmotions),high,,0.09,3.99,I'm absolutely shocked! I never thought this would happen!
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Depaysement(RareAndComplex)_.wav,Depaysement(RareAndComplex),high,,0.24,12.71,"The streets are unfamiliar, the language strange. But there's something exhilarating about being so far from home."
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Shame(SocialEmotions)_3.wav,Shame(SocialEmotions),high,,0.17,5.25,I'm consumed with regret. I can't even look at myself in the mirror.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_ExcitementSecondary_1.wav,ExcitementSecondary,high,,0.75,6.32,"Oh yes, this is exactly what I hope for. Let's do this."
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Compassion(SocialEmotions)_4.wav,Compassion(SocialEmotions),high,,0.12,5.25,I feel deeply moved. I'll do everything I can to support them.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_RegertSecondary60_1.wav,RegertSecondary60,high,,0.68,7.82,I can't believe what I've done. I've ruined everything and it's all my fault.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_DeterminationSecondary87_1.wav,DeterminationSecondary87,high,,1.26,5.78,Nothing can stop me. I'm giving it everything I've got.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_AdmirationSecondary_1.wav,AdmirationSecondary,high,,0.17,5.28,They are incredible. I've never seen anything like this before.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_SuspicionSecondary91_1.wav,SuspicionSecondary91,high,,1.25,6.53,I don't trust this at all. There's definitely something wrong here.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Mudita(RareAndComplex)_2.wav,Mudita(RareAndComplex),high,,0.08,5.54,Seeing you achieve your dreams fills me with immense happiness.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Fear(SocialEmotions)_2.wav,Fear(SocialEmotions),high,,0.31,4.23,This is terrifying! I need to get out of here now!
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_SurprisePrimary68_1.wav,SurprisePrimary68,high,,0.4,7.14,What? This is absolutely shocking. I didn't expect this at all.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Sonder(RareAndComplex)_2.wav,Sonder(RareAndComplex),high,,0.05,7.36,Every stranger I pass has a story as rich and as layered as mine.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_SurprisePrimary_1.wav,SurprisePrimary,high,,0.09,3.37,What? I can't believe this just happened!
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Torschlusspanik(RareAndComplex)_.wav,Torschlusspanik(RareAndComplex),high,,0.0,4.4,There's so much left to do when I feel the clock ticking louder with each passing moment.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Enouement(RareAndComplex)_.wav,Enouement(RareAndComplex),high,,0.21,12.73,If only I could go back and tell myself that everything would be okay. Though... perhaps... I needed to learn it for myself.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_SuspicionSecondary76_1.wav,SuspicionSecondary76,high,,0.56,6.13,I don't trust this at all. There's definitely something shady going on here.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Liberosis(RareAndComplex)_.wav,Liberosis(RareAndComplex),high,,0.1,7.83,I longed to let go to stop worrying about everything I couldn't control.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_CuriositySecondary_1.wav,CuriositySecondary,high,,0.27,5.05,Tell me everything. I need to know how this works right now.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_FrustrationSecondary66_1.wav,FrustrationSecondary66,high,,0.44,7.34,I'm ready to explode. Why is this so unnecessarily complicated?
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_AnticipationSecondary75_1.wav,AnticipationSecondary75,high,,0.85,5.22,I can hardly wait. This is going to be incredible.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Insecurity(SocialEmotions)_.wav,Insecurity(SocialEmotions),high,,0.12,4.67,I feel completely out of my depth. I'm scared off ale.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_JealousySecondary28_1.wav,JealousySecondary28,high,,0.22,6.48,I can't stand it. It's always like they're deliberately flaunting it in my face.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Sillage(RareAndComplex)_.wav,Sillage(RareAndComplex),high,,0.14,7.0,"Even after you've gone, the memory of your presence still fills the air."
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Triumph(SocialEmotions)_.wav,Triumph(SocialEmotions),high,,0.06,4.46,This is an extraordinary triumph. I've never felt more proud in my life.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Determination(SocialEmotions)_3.wav,Determination(SocialEmotions),high,,0.18,3.55,Nothing can stop me. I'm giving it everything I've got.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Disdain(SocialEmotions)_.wav,Disdain(SocialEmotions),high,,0.0,4.142125,It's utterly despicable. I have nothing but contempt for it.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Ubuntu(RareAndComplex)_.wav,Ubuntu(RareAndComplex),high,,0.24,5.74,We are bound together! Each of us lifting the other to greater heights!
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_SympathySecondary_1.wav,SympathySecondary,high,,0.63,5.75,My heart breaks for you. I wish I could take away your pain.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Pride(SocialEmotions)_2.wav,Pride(SocialEmotions),high,,0.15,4.63,This is my greatest achievement. I feel unstoppable right now.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_ShameSecondary54_1.wav,ShameSecondary54,high,,0.43,6.29,I'm consumed with regret. I can't even look at myself in the mirror.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_AnticipationSecondary_1.wav,AnticipationSecondary,high,,1.01,6.89,I can hardly sit still. Every moment feels like forever until it arrives.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_JealousySecondary83_1.wav,JealousySecondary83,high,,0.2,5.2,I'm consumed with jealousy. It's like I'm being left behind.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_AngerPrimary18_1.wav,AngerPrimary18,high,,0.36,5.38,I can't take this anymore. This is absolutely unacceptable.
Carrie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Carrie_Resolutereassurance_1.wav,Resolutereassurance,high,,0.21,2.88,We've got this handled. Let's move forward together.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_PrideSecondary_1.wav,PrideSecondary,high,,0.1,5.76,This is my moment. I've worked so hard for this and I deserve it.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Kaukokaipuu(RareAndComplex)_2.wav,Kaukokaipuu(RareAndComplex),high,,0.27,5.58,I can almost hear the waves crashing on a distant shore calling me away.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_TriumphSecondary_1.wav,TriumphSecondary,high,,0.1,6.18,This is an extraordinary triumph. I've never felt more proud in my life.
Carrie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Carrie_Bittersweetoptimism_1.wav,Bittersweetoptimism,high,,0.49,4.09,"This is a bittersweet moment, but we're moving in the right direction."
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Yugen(RareAndComplex)_2.wav,Yugen(RareAndComplex),high,,0.04,6.91,The sight of the moon reflected on the ocean fills me with an indescribable wonder.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Saudade(RareAndComplex)_2.wav,Saudade(RareAndComplex),high,,0.03,6.16,My heart aches for the moments we shared. Now only a distant memory.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Mudita(RareAndComplex)_.wav,Mudita(RareAndComplex),high,,0.08,4.76,Seeing you succeed fills my heart with a happiness that feels like my own.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Ijirashii(RareAndComplex)_.wav,Ijirashii(RareAndComplex),high,,0.07,8.08,Watching her fight through adversity with such grace brings tears to my eyes.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Regret(SocialEmotions)_.wav,Regret(SocialEmotions),high,,0.17,4.98,I deeply regret my actions. I wish I could take it all back.
Carrie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Carrie_Frustratedagreement_1.wav,Frustratedagreement,high,,0.45,3.41,"I understand, but this isn't an easy decision for me."
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_ContemptSecondary_1.wav,ContemptSecondary,high,,0.17,5.58,This is beneath me. I won't waste my time on it any longer.
Carrie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Carrie_Calmescalationmanagement_1.wav,Calmescalationmanagement,high,,0.62,4.4,Let's address this step by step and find the best solution.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Disappointment(SocialEmotions)_.wav,Disappointment(SocialEmotions),high,,0.05,7.31,I'm heartbroken. I put all my faith into this and it failed.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Pronoia(RareAndComplex)_.wav,Pronoia(RareAndComplex),high,,0.09,4.71,I just feel like everything is falling into place perfectly.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Shame(SocialEmotions)_4.wav,Shame(SocialEmotions),high,,0.04,5.83,I feel completely humiliated. I don't know how I'll ever recover from this.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Pride(SocialEmotions)_3.wav,Pride(SocialEmotions),high,,0.13,4.37,This is a moment I'll never forget I've never been prouder of myself.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Smultronstalle(RareAndComplex)_.wav,Smultronstalle(RareAndComplex),high,,0.06,8.17,This quiet clearing in the forest feels like a hidden sanctuary just for me.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_AngerPrimary_1.wav,AngerPrimary,high,,0.9,8.29,Enough! I've had it with this nonsense. Don't ever do that again.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Yugen(RareAndComplex)_.wav,Yugen(RareAndComplex),high,,0.07,7.03,"Under the endless stars, I feel the weight and wonder of existence."
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Jealousy(SocialEmotions)_3.wav,Jealousy(SocialEmotions),high,,0.17,4.43,I can't stand seeing them succeed. It should have been mine.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_ShameSecondary_1.wav,ShameSecondary,high,,0.15,5.04,I just want to disappear. I can't face anyone after this.
Carrie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Carrie_Encouragingcivicaction_1.wav,Encouragingcivicaction,high,,0.69,5.51,Let's unite and make our community a shining example of what's possible.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Anticipation(SocialEmotions)_.wav,Anticipation(SocialEmotions),high,,0.07,4.83,I can hardly sit still every moment feels like forever until it arrives!
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Determination(SocialEmotions)_.wav,Determination(SocialEmotions),high,,0.24,4.17,Nothing will stop me. I fight until I achieve my goal.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_InsecuritySecondary_1.wav,InsecuritySecondary,high,,1.38,7.21,I feel completely out of my depth. I'm scared I'll fail.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Sympathy(SocialEmotions)_.wav,Sympathy(SocialEmotions),high,,0.03,5.19,My heart breaks for you. I wish I could take away your pain.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Natsukashii(RareAndComplex)_2.wav,Natsukashii(RareAndComplex),high,,0.11,9.55,This place brings back memories of laughter and love from a time gone by.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_GratefulnessSecondary_1.wav,GratefulnessSecondary,high,,0.58,6.03,Words can express how thankful I am. You've changed my life.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_JoyPrimary77_1.wav,JoyPrimary77,high,,0.39,6.44,I'm absolutely overjoyed. This is the happiest I've ever been!
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_NostalgiaSecondary79_1.wav,NostalgiaSecondary79,high,,0.06,6.34,I feel overwhelmed by nostalgia. It's like a part of my heart is still there.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_EmpathySecondary_1.wav,EmpathySecondary,high,,0.19,7.33,I am deeply moved by what you're experiencing. I'll do everything to support you.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Admiration(SocialEmotions)_2.wav,Admiration(SocialEmotions),high,,0.13,5.16,"I'm in complete awe of them, their work and character are unmatched."
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Envy(SocialEmotions)_.wav,Envy(SocialEmotions),high,,0.19,5.24,I can't help but feel envious. They always get what I want.
Carrie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Carrie_Fulfilledsatisfaction_1.wav,Fulfilledsatisfaction,high,,0.47,2.99,We're thrilled you're happy with your purchase. Thank you.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Julie_Grief(SocialEmotions)_.wav,Grief(SocialEmotions),high,,0.12,6.12,I can't stop crying. I feel completely shattered and broken.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/high/Natalia_RegretSecondary_1.wav,RegretSecondary,high,,0.19,6.09,I deeply regret my actions. I wish I could take it all back.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/medium/Julie_Relief(SocialEmotions)_3.wav,Relief(SocialEmotions),medium,,0.11,5.72,"What? Oh, wait, off my shoulders. Ugh, I was really worried about that."
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/medium/Julie_Guilt(SocialEmotions)_3.wav,Guilt(SocialEmotions),medium,,0.23,5.02,"I can't stop thinking about it, I really hurt someone and it's eating at me!"
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/medium/Julie_EthicalDilemmaOverProgress(TechEmotions)_2.wav,EthicalDilemmaOverProgress(TechEmotions),medium,,0.39,8.6,"As incredible as this innovation is, I can't help but wonder. At what cost are we moving forward?"
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/medium/Julie_Regret(SocialEmotions)_4.wav,Regret(SocialEmotions),medium,,0.03,4.78,I can't stop thinking about what I could have done better. It's weighing on me.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/medium/Julie_Loneliness(SocialEmotions)_3.wav,Loneliness(SocialEmotions),medium,,0.14,4.87,It's hard to feel this alone. I wish someone could understand.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/medium/Julie_Natsukashii(RareAndComplex)_.wav,Natsukashii(RareAndComplex),medium,,0.11,6.28,The scent of the ocean brings me back to those carefree summer days we spent together.
Carrie,female,Dataset Preparation & Setup/project_voltron_dataset/female/medium/Carrie_Playfulexcitement_1.wav,Playfulexcitement,medium,,0.31,2.7,"Wow, this deal is too good to miss."
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/medium/Julie_Pity(SocialEmotions)_.wav,Pity(SocialEmotions),medium,,0.08,3.37,"It's heartbreaking to see them like this, I wish I could help."
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/medium/Julie_Jealousy(SocialEmotions)_.wav,Jealousy(SocialEmotions),medium,,0.1,3.97,It's not fair that they always get the attention. What about me?
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/medium/Julie_Loneliness(SocialEmotions)_.wav,Loneliness(SocialEmotions),medium,,0.18,6.76,I wish I had someone to talk to. It's been a tough day.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/medium/Julie_Nostalgia(SocialEmotions)_.wav,Nostalgia(SocialEmotions),medium,,0.1,6.22,I remember those days so clearly. It feels like yesterday.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/medium/Julie_Eunoia(RareAndComplex)_.wav,Eunoia(RareAndComplex),medium,,0.09,6.47,Let's approach this with kindness and understanding. For that's how we'll succeed together.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/medium/Natalia_SadnessPrimary_1.wav,SadnessPrimary,medium,,1.24,7.58,I can't stop thinking about it. It just hurts so much.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/medium/Julie_Anxiety(SocialEmotions)_.wav,Anxiety(SocialEmotions),medium,,0.13,3.2,"I'm on the edge, it feels like something's about to go wrong."
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/medium/Julie_Vermodalen(RareAndComplex)_.wav,Vermodalen(RareAndComplex),medium,,0.19,6.88,Every idea feels like a shadow of something that's come before yet I still can't stop trying.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/medium/Julie_Nostalgia(SocialEmotions)_3.wav,Nostalgia(SocialEmotions),medium,,0.04,5.35,Thinking about the past brings back so many good memories. I wish I could relive them.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/medium/Julie_Jealousy(SocialEmotions)_2.wav,Jealousy(SocialEmotions),medium,,0.1,4.28,Why do they always seem to have everything while I'm struggling?
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/medium/Natalia_ContentmentPrimary_1.wav,ContentmentPrimary,medium,,1.03,6.94,I feel really at peace. Everything seems just right.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/medium/Julie_Rubatosis(RareAndComplex)_.wav,Rubatosis(RareAndComplex),medium,,0.36,6.48,"Each thought of my heart seemed louder, a reminder of how fragile life can be."
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/medium/Julie_Pride(SocialEmotions)_.wav,Pride(SocialEmotions),medium,,0.1,3.89,I'm really proud of what I've achieved. It wasn't easy.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/medium/Julie_DigitalLoneliness(TechEmotions)_3.wav,DigitalLoneliness(TechEmotions),medium,,0.1,5.71,"There are a hundred messages on my screen, but none of them feel like someone really knows me."
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/medium/Julie_Regret(SocialEmotions)_3.wav,Regret(SocialEmotions),medium,,0.13,4.54,I can't stop thinking about what I did. It's eating away at me.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/medium/Julie_Anger(SocialEmotions)_.wav,Anger(SocialEmotions),medium,,0.22,3.81,I can't believe you did that. What were you thinking?
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/medium/Natalia_GriefSecondary_1.wav,GriefSecondary,medium,,1.16,7.8,This loss has been overwhelming. I feel like there's a hole in my heart.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/medium/Julie_AweOfHumanProgress(TechEmotions)_1.wav,AweOfHumanProgress(TechEmotions),medium,,0.31,7.46,"Seeing what we've built, what we've achieved, it fills me with a sense of awe that's hard to put into words."
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/medium/Natalia_GratitudeSecondary_1.wav,GratitudeSecondary,medium,,0.21,3.2,I'm so grateful for everything you've done for me.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/medium/Julie_Regret(SocialEmotions)_2.wav,Regret(SocialEmotions),medium,,0.15,4.53,"If only I could go back, I would do things so differently."
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/medium/Julie_Ukiyo(RareAndComplex)_.wav,Ukiyo(RareAndComplex),medium,,0.0,6.05,"For now, all that matters is the sound of the rain and the warmth of this tea."
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/medium/Natalia_GuiltSecondary29_1.wav,GuiltSecondary29,medium,,0.21,5.59,I can't shake the feeling. I know I hurt them deeply.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/medium/Julie_Gratefulness(SocialEmotions)_.wav,Gratefulness(SocialEmotions),medium,,0.11,3.36,I'm deeply grateful for your kindness. I'm truly touched.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/medium/Julie_FearOfObsolescene(TechEmotions)_3.wav,FearOfObsolescene(TechEmotions),medium,,0.11,9.67,"I can't help but wonder if there's still a place for me. When machines seem to be doing it all, better. Faster."
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/medium/Julie_Awe(SocialEmotions)_3.wav,Awe(SocialEmotions),medium,,0.12,5.22,I'm blown away by what I'm seeing. It's beyond anything I imagined.
